"iso","ts_articles","n_events","total_deaths","total_injured","total_affected","dominant_type","dominant_share","region","gdp_2023","population_2023","democracy_vdem","gdp_pc_2023","dist_to_germany"
"HRV",3,2,1255,0,0,"Extreme temperature",0.5,"Europe & Central Asia",85624.1539640987,3.859686,0.646,22184.2279304842,903.167222744558
"HTI",1,9,165,113,2489248,"Flood",0.444444444444444,"Latin America & Caribbean",19850.5857223241,11.637398,0.068,1705.75808460999,8101.1194747295
"HUN",0,1,1443,0,0,"Extreme temperature",1,"Europe & Central Asia",213240.316634648,9.592186,0.323,22230.6277875187,729.476137304864
"IDN",22,49,1766,5508,4160421,"Flood",0.408163265306122,"East Asia & Pacific",1371169.30156362,281.190067,0.356,4876.30774512252,11366.1906411949
"IND",9,55,2966,26847,20823593,"Flood",0.218181818181818,"South Asia",3638489.09603386,1438.069596,0.273,2530.12031278204,6641.64010213615
"IRL",5,2,37,0,0,"Extreme temperature",0.5,"Europe & Central Asia",567372.737459116,5.311538,0.829,106818.917130804,1461.4337247139
"IRN",2,14,256,2873,349822,"Flood",0.357142857142857,"Middle East & North Africa",457510.482317483,90.608707,0.076,5049.29931642754,3811.5731193561
"IRQ",1,6,70,3408,67638,"Flood",0.5,"Middle East & North Africa",268881.051643549,45.074049,0.223,5965.31835077761,3236.74032646612
"ISL",3,NA,NA,NA,NA,NA,NA,"Europe & Central Asia",31677.8918967861,0.385663,0.755,82138.7892973557,2338.67106627256
"ISR",0,2,0,23,23,"Storm",0.5,"Middle East & North Africa",512184.638998974,9.849,0.63,52003.7200729997,2893.90617367084
"ITA",13,12,19249,4,1625,"Water",0.416666666666667,"Europe & Central Asia",2316727.99933318,58.984216,0.732,39277.0838783918,1159.23861352888
"JAM",6,3,67,400,2060400,"Storm",1,"Latin America & Caribbean",21418.8043196395,2.839786,0.684,7542.40084275347,8473.90312001688
"JEY",1,NA,NA,NA,NA,NA,NA,"Europe & Central Asia",NA,NA,NA,NA,1147.29777300166
"JPN",10,11,706,38874,547997,"Storm",0.363636363636364,"East Asia & Pacific",4213167.23790583,124.51665,0.742,33836.1756271617,8742.5128157845
"KAZ",3,2,2,67,120067,"Earthquake",0.5,"Europe & Central Asia",261840.101059923,20.330104,0.141,12879.4275257974,3686.28601775377
"KEN",2,12,706,726,3177797,"Flood",0.416666666666667,"Sub-Saharan Africa",107500.884685013,55.339003,0.457,1942.58802756192,6208.11679338593
"KGZ",0,4,15,8558,115959,"Flood",0.75,"Europe & Central Asia",15180.8423694894,7.09975,0.188,2138.22210211478,4596.18812482109
"KHM",0,2,0,0,67000,"Extreme temperature",0.5,"East Asia & Pacific",42335.6468957984,17.42388,0.054,2429.74853452838,9024.05451369037
"KOR",1,9,304,2616,33736,"Flood",0.333333333333333,"East Asia & Pacific",1844800.93439154,51.712619,0.63,35674.0959956319,8320.55694102776
